0.1,4.0162,12.076,-91.739
0.12009,3.3503,10.502,-92.099
0.14553,2.7722,8.8564,-92.564
0.17635,2.2967,7.2219,-93.142
0.21371,1.9062,5.6032,-93.871
0.25898,1.5862,4.007,-94.803
0.31384,1.3248,2.443,-96.023
0.38033,1.1122,0.92378,-97.66
0.46089,0.94022,-0.53537,-99.93
0.55852,0.80166,-1.9202,-103.19
0.67684,0.68941,-3.2305,-108.05
0.82021,0.59446,-4.5175,-115.44
0.99396,0.50302,-5.9683,-126.46
1,0.5,-6.0206,-126.87
1.2045,0.39871,-7.9868,-141.29
1.4597,0.2826,-10.976,-157.29
1.7689,0.18131,-14.832,-170.31
2.1436,0.11141,-19.061,-178.71
2.5977,0.06841,-23.298,-183.31
3.1479,0.042694,-27.393,-185.44
3.8148,0.027168,-31.319,-186.13
4.0381,0.023847,-32.451,-186.16
4.6229,0.017591,-35.094,-186.02
5.6022,0.011551,-38.748,-185.54
6.7889,0.007665,-42.31,-184.9
8.227,0.005126,-45.804,-184.23
9.9698,0.003447,-49.251,-183.6
10,0.0034256,-49.305,-183.59
12.082,0.002327,-52.664,-183.03
14.641,0.0015751,-56.054,-182.53
17.742,0.0010682,-59.427,-182.11
21.501,0.00072538,-62.789,-181.75
26.056,0.00049301,-66.143,-181.45
31.575,0.00033528,-69.492,-181.2
38.264,0.0002281,-72.837,-180.99
46.369,0.00015523,-76.18,-180.82
56.192,0.00010566,-79.522,-180.68
68.095,7.193e-05,-82.862,-180.56
82.52,4.8971e-05,-86.201,-180.46
100,3.3343e-05,-89.54,-180.38
