t	alpha1	alpha2	alpha3	alpha4
0.116	0.919249294	0.81372988	0.708210467	0.49717164
0.117	0.933836563	0.826853452	0.719870341	0.505904118
0.118	0.948489622	0.84003761	0.731585598	0.514681574
0.119	0.963207594	0.853281547	0.743355501	0.523503409
0.12	0.977989613	0.866584467	0.755179321	0.53236903
0.121	0.992834826	0.879945583	0.76705634	0.541277854
0.122	1.007742391	0.893364119	0.778985848	0.550229306
0.123	1.022711476	0.906839311	0.790967147	0.559222817
0.124	1.037741262	0.920370403	0.802999544	0.568257827
0.125	1.052830939	0.93395665	0.81508236	0.577333782
0.126	1.06797971	0.947597316	0.827214923	0.586450137
0.127	1.083186786	0.961291677	0.839396569	0.595606353
0.128	1.09845139	0.975039017	0.851626645	0.604801899
0.129	1.113772756	0.98883863	0.863904504	0.614036251
0.13	1.129150127	1.002689818	0.876229509	0.623308891
0.131	1.144582757	1.016591895	0.888601034	0.63261931
0.132	1.160069909	1.030544182	0.901018456	0.641967003
0.133	1.175610856	1.04454601	0.913481165	0.651351474
0.134	1.191204881	1.058596719	0.925988557	0.660772233
0.135	1.206851277	1.072695657	0.938540036	0.670228795
0.136	1.222549346	1.086842181	0.951135015	0.679720684
0.137	1.238298399	1.101035656	0.963772914	0.68924743
0.138	1.254097756	1.115275458	0.976453161	0.698808566
0.139	1.269946747	1.129560969	0.989175191	0.708403635
0.14	1.28584471	1.143891579	1.001938447	0.718032184
0.141	1.301790993	1.158266687	1.014742381	0.727693768
0.142	1.317784952	1.1726857	1.027586449	0.737387946
0.143	1.33382595	1.187148034	1.040470117	0.747114283
0.144	1.349913362	1.201653109	1.053392857	0.756872352
0.145	1.366046568	1.216200358	1.066354148	0.766661728
0.146	1.382224958	1.230789217	1.079353476	0.776481994
0.147	1.39844793	1.245419132	1.092390335	0.78633274
0.148	1.414714889	1.260089556	1.105464223	0.796213558
0.149	1.431025249	1.274799949	1.118574648	0.806124048
0.15	1.447378432	1.289549778	1.131721123	0.816063814
0.151	1.463773867	1.304338517	1.144903167	0.826032466
0.152	1.480210991	1.319165648	1.158120305	0.836029619
0.153	1.496689248	1.334030659	1.171372071	0.846054894
0.154	1.513208089	1.348933045	1.184658002	0.856107914
0.155	1.529766975	1.363872309	1.197977643	0.866188311
0.156	1.54636537	1.378847958	1.211330545	0.87629572
0.157	1.563002749	1.393859507	1.224716264	0.88642978
0.158	1.579678592	1.408906478	1.238134364	0.896590136
0.159	1.596392386	1.423988399	1.251584412	0.906776438
0.16	1.613143625	1.439104804	1.265065983	0.916988341
0.161	1.62993181	1.454255233	1.278578656	0.927225501
0.162	1.646756449	1.469439233	1.292122017	0.937487584
0.163	1.663617056	1.484656356	1.305695656	0.947774257
0.164	1.680513151	1.499906161	1.319299171	0.958085191
0.165	1.697444262	1.515188212	1.332932163	0.968420065
0.166	1.714409921	1.53050208	1.346594239	0.978778558
0.167	1.731409668	1.54584734	1.360285012	0.989160356
0.168	1.748443049	1.561223574	1.374004098	0.999565148
0.169	1.765509616	1.576630369	1.387751122	1.009992627
0.17	1.782608926	1.592067317	1.401525709	1.020442492
0.171	1.799740542	1.607534017	1.415327493	1.030914444
0.172	1.816904034	1.623030073	1.429156111	1.041408188
0.173	1.834098978	1.638555092	1.443011206	1.051923434
0.174	1.851324954	1.654108689	1.456892425	1.062459896
0.175	1.868581548	1.669690483	1.470799419	1.07301729
0.176	1.885868352	1.685300099	1.484731845	1.083595338
0.177	1.903184964	1.700937164	1.498689364	1.094193764
0.178	1.920530986	1.716601314	1.512671641	1.104812297
0.179	1.937906026	1.732292187	1.526678347	1.115450668
0.18	1.955309698	1.748009427	1.540709156	1.126108614
0.181	1.97274162	1.763752683	1.554763746	1.136785873
0.182	1.990201414	1.779521608	1.568841801	1.147482188
0.183	2.007688711	1.795315859	1.582943008	1.158197305
0.184	2.025203143	1.8111351	1.597067058	1.168930973
0.185	2.042744348	1.826978997	1.611213646	1.179682945
0.186	2.06031197	1.842847222	1.625382473	1.190452977
0.187	2.077905656	1.858739449	1.639573242	1.201240829
0.188	2.095525059	1.87465536	1.653785661	1.212046262
0.189	2.113169837	1.890594639	1.66801944	1.222869043
0.19	2.130839651	1.906556973	1.682274295	1.23370894
0.191	2.148534167	1.922542057	1.696549946	1.244565725
0.192	2.166253056	1.938549586	1.710846115	1.255439173
0.193	2.183995994	1.954579261	1.725162528	1.266329062
0.194	2.201762659	1.970630788	1.739498916	1.277235173
0.195	2.219552736	1.986703874	1.753855012	1.288157289
0.196	2.237365912	2.002798233	1.768230555	1.299095198
0.197	2.255201879	2.018913581	1.782625283	1.310048688
0.198	2.273060335	2.035049639	1.797038943	1.321017552
0.199	2.290940978	2.051206129	1.811471281	1.332001585
0.2	2.308843513	2.067382781	1.825922049	1.343000585
0.201	2.326767649	2.083579325	1.840391001	1.354014352
0.202	2.344713097	2.099795495	1.854877894	1.36504269
0.203	2.362679574	2.116031031	1.869382489	1.376085405
0.204	2.380666798	2.132285675	1.883904551	1.387142304
0.205	2.398674495	2.148559171	1.898443846	1.398213198
0.206	2.41670239	2.164851268	1.913000146	1.409297902
0.207	2.434750214	2.181161718	1.927573222	1.420396231
0.208	2.452817703	2.197490278	1.942162853	1.431508003
0.209	2.470904593	2.213836704	1.956768816	1.442633039
0.21	2.489010626	2.23020076	1.971390894	1.453771163
0.211	2.507135547	2.24658221	1.986028873	1.4649222
0.212	2.525279104	2.262980823	2.000682541	1.476085977
0.213	2.543441049	2.279396369	2.015351688	1.487262326
0.214	2.561621137	2.295828622	2.030036108	1.498451078
0.215	2.579819126	2.312277361	2.044735597	1.509652069
0.216	2.598034777	2.328742366	2.059449955	1.520865134
0.217	2.616267854	2.345223419	2.074178984	1.532090113
0.218	2.634518127	2.361720307	2.088922487	1.543326848
0.219	2.652785364	2.378232819	2.103680273	1.554575181
0.22	2.671069341	2.394760746	2.11845215	1.565834959
0.221	2.689369834	2.411303883	2.133237931	1.577106027
0.222	2.707686623	2.427862027	2.14803743	1.588388237
0.223	2.726019491	2.444434978	2.162850465	1.599681439
0.224	2.744368223	2.461022539	2.177676855	1.610985487
0.225	2.762732609	2.477624516	2.192516423	1.622300237
0.226	2.781112438	2.494240715	2.207368991	1.633625545
0.227	2.799507506	2.510870947	2.222234389	1.644961271
0.228	2.81791761	2.527515026	2.237112443	1.656307276
0.229	2.836342548	2.544172767	2.252002986	1.667663423
0.23	2.854782124	2.560843987	2.266905851	1.679029578
0.231	2.873236141	2.577528507	2.281820873	1.690405605
0.232	2.891704409	2.59422615	2.296747892	1.701791375
0.233	2.910186736	2.610936741	2.311686746	1.713186757
