t	w1	w2	w3	w4	w5
0.404	6.181063163	6.176604055	6.165698043	6.145869656	6.02530494
0.405	6.181089407	6.176706393	6.165952269	6.146354554	6.026803724
0.406	6.18111507	6.176806875	6.16620259	6.14683299	6.028288195
0.407	6.181140165	6.176905536	6.166449065	6.147305048	6.029758489
0.408	6.181164704	6.177002407	6.166691755	6.147770813	6.031214743
0.409	6.181188699	6.177097523	6.166930717	6.148230371	6.032657089
0.41	6.181212164	6.177190914	6.167166008	6.148683803	6.034085661
0.411	6.181235109	6.177282611	6.167397685	6.149131192	6.035500591
0.412	6.181257546	6.177372647	6.167625803	6.149572617	6.036902008
0.413	6.181279486	6.177461049	6.167850417	6.150008158	6.038290042
0.414	6.181300941	6.177547849	6.168071581	6.150437894	6.03966482
0.415	6.18132192	6.177633075	6.168289348	6.150861901	6.04102647
0.416	6.181342435	6.177716756	6.16850377	6.151280258	6.042375116
0.417	6.181362496	6.17779892	6.168714898	6.151693037	6.043710883
0.418	6.181382112	6.177879594	6.168922783	6.152100315	6.045033893
0.419	6.181401295	6.177958806	6.169127475	6.152502164	6.046344269
0.42	6.181420052	6.178036581	6.169329022	6.152898657	6.047642131
0.421	6.181438395	6.178112946	6.169527474	6.153289865	6.048927598
0.422	6.181456331	6.178187927	6.169722878	6.153675859	6.05020079
0.423	6.18147387	6.178261548	6.169915279	6.154056707	6.051461823
0.424	6.181491021	6.178333835	6.170104726	6.154432479	6.052710813
0.425	6.181507792	6.17840481	6.170291262	6.154803243	6.053947876
0.426	6.181524192	6.178474499	6.170474933	6.155169064	6.055173125
0.427	6.181540228	6.178542925	6.170655783	6.15553001	6.056386672
0.428	6.18155591	6.17861011	6.170833855	6.155886144	6.057588631
0.429	6.181571244	6.178676076	6.171009191	6.156237532	6.058779111
0.43	6.181586239	6.178740847	6.171181835	6.156584235	6.059958223
0.431	6.181600902	6.178804443	6.171351826	6.156926318	6.061126074
0.432	6.181615241	6.178866887	6.171519206	6.157263841	6.062282772
0.433	6.181629261	6.178928198	6.171684015	6.157596865	6.063428424
0.434	6.181642972	6.178988398	6.171846293	6.15792545	6.064563136
0.435	6.181656379	6.179047506	6.172006077	6.158249655	6.065687011
0.436	6.181669489	6.179105542	6.172163408	6.158569539	6.066800153
0.437	6.181682309	6.179162526	6.172318322	6.158885159	6.067902665
0.438	6.181694845	6.179218477	6.172470856	6.159196572	6.068994648
0.439	6.181707103	6.179273414	6.172621047	6.159503834	6.070076202
0.44	6.18171909	6.179327355	6.172768931	6.159807001	6.071147429
0.441	6.181730812	6.179380317	6.172914543	6.160106127	6.072208425
0.442	6.181742274	6.17943232	6.173057919	6.160401265	6.073259288
0.443	6.181753482	6.179483379	6.173199093	6.16069247	6.074300117
0.444	6.181764442	6.179533513	6.173338098	6.160979793	6.075331005
0.445	6.18177516	6.179582738	6.173474967	6.161263287	6.076352049
0.446	6.18178564	6.17963107	6.173609735	6.161543002	6.077363342
0.447	6.181795888	6.179678526	6.173742432	6.161818988	6.078364977
0.448	6.181805909	6.179725122	6.173873091	6.162091296	6.079357047
0.449	6.181815709	6.179770873	6.174001743	6.162359974	6.080339642
0.45	6.181825291	6.179815794	6.174128419	6.162625071	6.081312855
0.451	6.181834662	6.179859901	6.174253149	6.162886634	6.082276773
0.452	6.181843825	6.179903208	6.174375963	6.163144711	6.083231485
0.453	6.181852785	6.17994573	6.17449689	6.163399349	6.084177081
0.454	6.181861546	6.179987481	6.17461596	6.163650591	6.085113646
0.455	6.181870114	6.180028475	6.174733201	6.163898486	6.086041267
0.456	6.181878492	6.180068726	6.174848641	6.164143075	6.08696003
0.457	6.181886684	6.180108247	6.174962308	6.164384405	6.087870018
0.458	6.181894695	6.180147052	6.175074229	6.164622518	6.088771317
0.459	6.181902529	6.180185153	6.17518443	6.164857457	6.089664008
0.46	6.181910189	6.180222563	6.175292939	6.165089265	6.090548174
0.461	6.18191768	6.180259295	6.175399781	6.165317983	6.091423896
0.462	6.181925005	6.180295361	6.175504982	6.165543652	6.092291255
0.463	6.181932167	6.180330773	6.175608567	6.165766313	6.093150332
0.464	6.181939172	6.180365543	6.175710561	6.165986007	6.094001204
0.465	6.181946021	6.180399683	6.175810989	6.166202772	6.09484395
0.466	6.181952718	6.180433203	6.175909873	6.166416648	6.095678649
0.467	6.181959267	6.180466116	6.176007239	6.166627673	6.096505376
0.468	6.181965671	6.180498432	6.176103109	6.166835885	6.097324208
0.469	6.181971933	6.180530162	6.176197506	6.167041322	6.098135221
0.47	6.181978057	6.180561317	6.176290454	6.16724402	6.098938488
0.471	6.181984045	6.180591907	6.176381973	6.167444017	6.099734084
0.472	6.181989901	6.180621943	6.176472087	6.167641348	6.100522083
0.473	6.181995626	6.180651434	6.176560817	6.167836049	6.101302556
0.474	6.182001226	6.18068039	6.176648184	6.168028155	6.102075576
0.475	6.182006701	6.180708821	6.176734208	6.1682177	6.102841214
0.476	6.182012055	6.180736737	6.176818912	6.168404718	6.10359954
0.477	6.18201729	6.180764147	6.176902314	6.168589244	6.104350624
0.478	6.182022409	6.180791059	6.176984435	6.16877131	6.105094535
0.479	6.182027416	6.180817484	6.177065295	6.16895095	6.105831342
0.48	6.182032311	6.18084343	6.177144912	6.169128195	6.106561113
0.481	6.182037098	6.180868905	6.177223307	6.169303077	6.107283915
0.482	6.182041779	6.180893918	6.177300498	6.169475629	6.107999814
0.483	6.182046356	6.180918478	6.177376502	6.16964588	6.108708876
0.484	6.182050832	6.180942593	6.17745134	6.169813862	6.109411167
0.485	6.182055209	6.18096627	6.177525027	6.169979605	6.110106751
0.486	6.182059489	6.180989518	6.177597583	6.170143139	6.110795692
0.487	6.182063674	6.181012344	6.177669025	6.170304493	6.111478054
0.488	6.182067766	6.181034757	6.177739369	6.170463697	6.1121539
0.489	6.182071768	6.181056763	6.177808632	6.170620778	6.112823291
0.49	6.182075682	6.181078371	6.177876832	6.170775766	6.11348629
0.491	6.182079508	6.181099586	6.177943983	6.170928688	6.114142958
0.492	6.18208325	6.181120417	6.178010104	6.171079571	6.114793354
0.493	6.182086909	6.18114087	6.178075209	6.171228443	6.115437539
0.494	6.182090487	6.181160953	6.178139313	6.171375331	6.116075572
0.495	6.182093986	6.181180671	6.178202433	6.171520261	6.116707512
0.496	6.182097408	6.181200032	6.178264584	6.17166326	6.117333418
0.497	6.182100753	6.181219042	6.17832578	6.171804352	6.117953346
0.498	6.182104025	6.181237707	6.178386035	6.171943564	6.118567353
0.499	6.182107224	6.181256034	6.178445366	6.17208092	6.119175497
0.5	6.182110352	6.181274028	6.178503785	6.172216445	6.119777834
0.501	6.182113411	6.181291696	6.178561306	6.172350164	6.120374418
0.502	6.182116403	6.181309044	6.178617944	6.1724821	6.120965305
0.503	6.182119328	6.181326077	6.178673712	6.172612278	6.121550549
0.504	6.182122188	6.181342802	6.178728623	6.172740721	6.122130204
0.505	6.182124985	6.181359223	6.178782691	6.172867451	6.122704324
0.506	6.18212772	6.181375347	6.178835929	6.172992493	6.12327296
0.507	6.182130395	6.181391178	6.178888348	6.173115867	6.123836167
0.508	6.18213301	6.181406722	6.178939962	6.173237598	6.124393994
0.509	6.182135567	6.181421984	6.178990784	6.173357705	6.124946495
0.51	6.182138068	6.18143697	6.179040825	6.173476212	6.125493719
0.511	6.182140514	6.181451684	6.179090097	6.173593139	6.126035718
0.512	6.182142905	6.181466131	6.179138613	6.173708508	6.12657254
0.513	6.182145243	6.181480316	6.179186383	6.173822339	6.127104236
0.514	6.18214753	6.181494244	6.179233419	6.173934653	6.127630855
0.515	6.182149766	6.18150792	6.179279733	6.174045469	6.128152444
0.516	6.182151952	6.181521347	6.179325335	6.174154809	6.128669052
0.517	6.18215409	6.181534532	6.179370237	6.174262691	6.129180727
0.518	6.182156181	6.181547477	6.17941445	6.174369135	6.129687515
0.519	6.182158225	6.181560187	6.179457983	6.17447416	6.130189463
0.52	6.182160225	6.181572667	6.179500847	6.174577786	6.130686618
0.521	6.182162179	6.181584921	6.179543053	6.17468003	6.131179025
0.522	6.182164091	6.181596952	6.179584611	6.174780911	6.13166673
0.523	6.18216596	6.181608766	6.17962553	6.174880448	6.132149778
0.524	6.182167788	6.181620365	6.179665821	6.174978658	6.132628212
0.525	6.182169576	6.181631754	6.179705493	6.175075559	6.133102077
0.526	6.182171323	6.181642936	6.179744556	6.175171168	6.133571417
0.527	6.182173033	6.181653916	6.179783018	6.175265503	6.134036275
0.528	6.182174704	6.181664696	6.17982089	6.17535858	6.134496694
0.529	6.182176338	6.181675281	6.17985818	6.175450417	6.134952715
0.53	6.182177936	6.181685674	6.179894897	6.17554103	6.135404382
0.531	6.182179499	6.181695879	6.17993105	6.175630435	6.135851735
0.532	6.182181027	6.181705899	6.179966648	6.175718648	6.136294817
0.533	6.182182522	6.181715737	6.180001699	6.175805686	6.136733667
0.534	6.182183983	6.181725397	6.180036211	6.175891563	6.137168325
0.535	6.182185412	6.181734881	6.180070194	6.175976296	6.137598833
0.536	6.182186809	6.181744194	6.180103654	6.176059899	6.13802523
0.537	6.182188175	6.181753338	6.180136601	6.176142388	6.138447555
0.538	6.182189511	6.181762316	6.180169041	6.176223777	6.138865847
0.539	6.182190818	6.181771131	6.180200983	6.176304082	6.139280144
0.54	6.182192095	6.181779786	6.180232435	6.176383316	6.139690484
0.541	6.182193344	6.181788285	6.180263403	6.176461494	6.140096906
0.542	6.182194566	6.181796629	6.180293896	6.17653863	6.140499447
0.543	6.182195761	6.181804822	6.18032392	6.176614738	6.140898143
0.544	6.182196929	6.181812867	6.180353483	6.176689831	6.141293032
0.545	6.182198071	6.181820765	6.180382592	6.176763924	6.14168415
0.546	6.182199188	6.181828521	6.180411254	6.176837029	6.142071532
0.547	6.18220028	6.181836136	6.180439476	6.176909159	6.142455216
0.548	6.182201348	6.181843613	6.180467264	6.176980328	6.142835235
0.549	6.182202393	6.181850954	6.180494625	6.177050549	6.143211625
0.55	6.182203414	6.181858162	6.180521566	6.177119833	6.14358442
0.551	6.182204413	6.181865239	6.180548093	6.177188194	6.143953656
0.552	6.182205389	6.181872189	6.180574213	6.177255644	6.144319365
0.553	6.182206344	6.181879012	6.180599931	6.177322194	6.144681582
0.554	6.182207278	6.181885711	6.180625255	6.177387858	6.14504034
0.555	6.182208191	6.181892289	6.180650189	6.177452646	6.145395671
0.556	6.182209084	6.181898748	6.18067474	6.177516571	6.14574761
0.557	6.182209957	6.181905089	6.180698915	6.177579644	6.146096187
0.558	6.182210811	6.181911316	6.180722718	6.177641876	6.146441436
0.559	6.182211646	6.18191743	6.180746155	6.177703278	6.146783387
0.56	6.182212462	6.181923433	6.180769232	6.177763863	6.147122073
0.561	6.18221326	6.181929327	6.180791955	6.177823639	6.147457524
0.562	6.182214041	6.181935114	6.180814329	6.177882619	6.147789772
0.563	6.182214805	6.181940796	6.180836359	6.177940813	6.148118847
0.564	6.182215551	6.181946375	6.180858051	6.177998231	6.14844478
0.565	6.182216281	6.181951854	6.180879409	6.178054883	6.1487676
0.566	6.182216995	6.181957232	6.180900439	6.178110781	6.149087337
0.567	6.182217693	6.181962514	6.180921147	6.178165933	6.14940402
0.568	6.182218375	6.181967699	6.180941536	6.17822035	6.149717679
0.569	6.182219043	6.181972791	6.180961612	6.178274042	6.150028343
0.57	6.182219695	6.18197779	6.18098138	6.178327019	6.15033604
0.571	6.182220334	6.181982698	6.181000844	6.178379289	6.150640799
0.572	6.182220958	6.181987518	6.181020009	6.178430862	6.150942647
0.573	6.182221568	6.18199225	6.18103888	6.178481748	6.151241613
0.574	6.182222165	6.181996896	6.181057461	6.178531956	6.151537723
0.575	6.182222748	6.182001458	6.181075756	6.178581495	6.151831006
0.576	6.182223319	6.182005938	6.181093771	6.178630373	6.152121488
0.577	6.182223877	6.182010336	6.181111508	6.1786786	6.152409196
0.578	6.182224422	6.182014654	6.181128973	6.178726184	6.152694157
0.579	6.182224956	6.182018895	6.18114617	6.178773133	6.152976396
0.58	6.182225478	6.182023058	6.181163103	6.178819457	6.153255939
0.581	6.182225988	6.182027146	6.181179776	6.178865164	6.153532813
0.582	6.182226487	6.182031159	6.181196193	6.178910261	6.153807043
0.583	6.182226974	6.1820351	6.181212357	6.178954757	6.154078655
0.584	6.182227451	6.18203897	6.181228273	6.17899866	6.154347672
0.585	6.182227918	6.182042769	6.181243945	6.179041978	6.15461412
0.586	6.182228374	6.182046499	6.181259376	6.179084718	6.154878024
0.587	6.18222882	6.182050162	6.18127457	6.179126889	6.155139407
0.588	6.182229256	6.182053759	6.18128953	6.179168497	6.155398295
0.589	6.182229683	6.18205729	6.181304261	6.179209551	6.15565471
0.59	6.1822301	6.182060757	6.181318765	6.179250058	6.155908676
0.591	6.182230508	6.182064161	6.181333047	6.179290025	6.156160217
0.592	6.182230907	6.182067504	6.181347109	6.179329459	6.156409356
0.593	6.182231297	6.182070786	6.181360955	6.179368368	6.156656115
0.594	6.182231678	6.182074008	6.181374589	6.179406758	6.156900518
0.595	6.182232051	6.182077172	6.181388013	6.179444636	6.157142587
0.596	6.182232415	6.182080279	6.181401231	6.179482009	6.157382345
0.597	6.182232772	6.182083329	6.181414246	6.179518884	6.157619812
0.598	6.182233121	6.182086324	6.181427061	6.179555268	6.157855012
0.599	6.182233462	6.182089265	6.181439679	6.179591167	6.158087966
0.6	6.182233795	6.182092152	6.181452103	6.179626587	6.158318695
