t	alpha1	alpha2	alpha3	alpha4	alpha5
0.092	0.423689788	0.37437765	0.334935142	0.302795327	0.234683543
0.093	0.433316178	0.383182585	0.343016297	0.310245742	0.240684351
0.094	0.442997474	0.392047377	0.351159282	0.317758217	0.246743465
0.095	0.452732462	0.400970941	0.359363148	0.325331925	0.252860331
0.096	0.462519954	0.409952214	0.36762696	0.332966052	0.259034397
0.097	0.472358789	0.418990149	0.375949799	0.340659792	0.265265117
0.098	0.482247831	0.428083721	0.384330758	0.348412351	0.271551951
0.099	0.49218597	0.43723192	0.392768946	0.356222946	0.277894363
0.1	0.502172119	0.446433758	0.401263484	0.364090804	0.284291822
0.101	0.512205216	0.455688263	0.409813507	0.372015162	0.290743804
0.102	0.522284223	0.46499448	0.418418163	0.379995266	0.297249787
0.103	0.532408123	0.474351472	0.427076612	0.388030375	0.303809256
0.104	0.542575923	0.483758318	0.43578803	0.396119756	0.310421702
0.105	0.552786652	0.493214116	0.444551602	0.404262685	0.317086617
0.106	0.56303936	0.502717977	0.453366528	0.412458448	0.323803501
0.107	0.573333116	0.512269032	0.46223202	0.420706342	0.330571857
0.108	0.583667014	0.521866424	0.4711473	0.429005672	0.337391196
0.109	0.594040164	0.531509313	0.480111604	0.437355753	0.344261028
0.11	0.604451698	0.541196876	0.48912418	0.445755908	0.351180873
0.111	0.614900765	0.550928301	0.498184285	0.45420547	0.358150254
0.112	0.625386536	0.560702794	0.50729119	0.46270378	0.365168696
0.113	0.635908198	0.570519574	0.516444176	0.471250189	0.372235731
0.114	0.646464956	0.580377875	0.525642536	0.479844055	0.379350896
0.115	0.657056033	0.590276944	0.534885572	0.488484747	0.386513731
0.116	0.66768067	0.600216042	0.544172598	0.49717164	0.393723781
0.117	0.678338123	0.610194442	0.553502939	0.505904118	0.400980594
0.118	0.689027667	0.620211434	0.562875929	0.514681574	0.408283725
0.119	0.699748591	0.630266316	0.572290914	0.523503409	0.41563273
0.12	0.710500199	0.640358402	0.581747248	0.53236903	0.423027173
0.121	0.721281814	0.650487018	0.591244296	0.541277854	0.430466618
0.122	0.73209277	0.660651502	0.600781433	0.550229306	0.437950637
0.123	0.742932418	0.670851202	0.610358042	0.559222817	0.445478804
0.124	0.753800123	0.681085481	0.619973519	0.568257827	0.453050696
0.125	0.764695264	0.691353712	0.629627265	0.577333782	0.460665897
0.126	0.775617233	0.701655278	0.639318693	0.586450137	0.468323993
0.127	0.786565436	0.711989577	0.649047225	0.595606353	0.476024574
0.128	0.797539292	0.722356014	0.658812289	0.604801899	0.483767234
0.129	0.808538234	0.732754006	0.668613326	0.614036251	0.491551573
0.13	0.819561707	0.743182982	0.678449782	0.623308891	0.499377191
0.131	0.830609166	0.75364238	0.688321113	0.63261931	0.507243694
0.132	0.841680082	0.764131648	0.698226784	0.641967003	0.515150693
0.133	0.852773934	0.774650245	0.708166267	0.651351474	0.5230978
0.134	0.863890215	0.785197639	0.718139044	0.660772233	0.531084632
0.135	0.875028428	0.795773307	0.728144601	0.670228795	0.53911081
0.136	0.886188088	0.806376738	0.738182437	0.679720684	0.547175958
0.137	0.89736872	0.817007428	0.748252055	0.68924743	0.555279705
0.138	0.90856986	0.827664882	0.758352967	0.698808566	0.56342168
0.139	0.919791054	0.838348616	0.768484692	0.708403635	0.57160152
0.14	0.931031857	0.849058153	0.778646757	0.718032184	0.579818863
0.141	0.942291835	0.859793024	0.788838696	0.727693768	0.588073351
0.142	0.953570564	0.870552772	0.79906005	0.737387946	0.596364628
0.143	0.964867629	0.881336944	0.809310367	0.747114283	0.604692344
0.144	0.976182624	0.892145099	0.819589203	0.756872352	0.613056151
0.145	0.987515152	0.9029768	0.829896119	0.766661728	0.621455703
0.146	0.998864825	0.913831622	0.840230684	0.776481994	0.62989066
0.147	1.010231262	0.924709145	0.850592473	0.78633274	0.638360683
0.148	1.021614094	0.935608957	0.860981068	0.796213558	0.646865438
0.149	1.033012957	0.946530655	0.871396057	0.806124048	0.655404593
0.15	1.044427495	0.957473841	0.881837035	0.816063814	0.663977819
0.151	1.055857363	0.968438126	0.892303603	0.826032466	0.672584792
0.152	1.06730222	0.979423127	0.902795368	0.836029619	0.681225188
0.153	1.078761735	0.990428469	0.913311942	0.846054894	0.689898688
0.154	1.090235583	1.001453783	0.923852944	0.856107914	0.698604977
0.155	1.101723447	1.012498707	0.934418	0.866188311	0.707343741
0.156	1.113225016	1.023562886	0.945006739	0.87629572	0.71611467
0.157	1.124739988	1.03464597	0.955618799	0.88642978	0.724917458
0.158	1.136268065	1.045747616	0.96625382	0.896590136	0.733751799
0.159	1.147808957	1.056867488	0.97691145	0.906776438	0.742617392
0.16	1.159362381	1.068005256	0.987591342	0.916988341	0.75151394
0.161	1.170928059	1.079160595	0.998293154	0.927225501	0.760441145
0.162	1.182505719	1.090333186	1.009016549	0.937487584	0.769398716
0.163	1.194095097	1.101522717	1.019761195	0.947774257	0.778386363
0.164	1.205695933	1.11272888	1.030526767	0.958085191	0.787403798
0.165	1.217307974	1.123951375	1.041312942	0.968420065	0.796450738
0.166	1.22893097	1.135189904	1.052119405	0.978778558	0.805526899
0.167	1.240564681	1.146444178	1.062945843	0.989160356	0.814632003
0.168	1.252208868	1.15771391	1.07379195	0.999565148	0.823765774
0.169	1.263863299	1.168998821	1.084657423	1.009992627	0.832927938
0.17	1.275527749	1.180298635	1.095541966	1.020442492	0.842118223
0.171	1.287201994	1.191613082	1.106445285	1.030914444	0.851336362
0.172	1.298885818	1.202941896	1.117367091	1.041408188	0.860582088
0.173	1.310579009	1.214284818	1.128307102	1.051923434	0.869855138
0.174	1.32228136	1.225641592	1.139265037	1.062459896	0.87915525
0.175	1.333992668	1.237011966	1.15024062	1.07301729	0.888482167
0.176	1.345712734	1.248395693	1.161233582	1.083595338	0.897835632
0.177	1.357441365	1.259792533	1.172243654	1.094193764	0.907215392
0.178	1.36917837	1.271202246	1.183270574	1.104812297	0.916621196
0.179	1.380923566	1.282624599	1.194314084	1.115450668	0.926052795
0.18	1.392676769	1.294059364	1.205373928	1.126108614	0.935509943
0.181	1.404437804	1.305506316	1.216449855	1.136785873	0.944992395
0.182	1.416206496	1.316965232	1.227541619	1.147482188	0.95449991
0.183	1.427982676	1.328435897	1.238648976	1.158197305	0.96403225
0.184	1.439766178	1.339918098	1.249771687	1.168930973	0.973589175
0.185	1.45155684	1.351411625	1.260909515	1.179682945	0.983170453
0.186	1.463354504	1.362916272	1.272062229	1.190452977	0.99277585
0.187	1.475159015	1.374431839	1.2832296	1.201240829	1.002405135
0.188	1.48697022	1.385958127	1.294411403	1.212046262	1.012058082
0.189	1.498787973	1.397494943	1.305607416	1.222869043	1.021734463
0.19	1.510612127	1.409042094	1.316817421	1.23370894	1.031434056
0.191	1.522442541	1.420599394	1.328041203	1.244565725	1.041156638
0.192	1.534279077	1.432166658	1.33927855	1.255439173	1.05090199
0.193	1.546121598	1.443743707	1.350529254	1.266329062	1.060669894
0.194	1.557969973	1.455330362	1.36179311	1.277235173	1.070460135
0.195	1.569824072	1.46692645	1.373069916	1.288157289	1.0802725
0.196	1.581683768	1.478531799	1.384359472	1.299095198	1.090106777
0.197	1.593548937	1.490146241	1.395661583	1.310048688	1.099962758
0.198	1.605419458	1.501769612	1.406976057	1.321017552	1.109840234
0.199	1.617295213	1.51340175	1.418302702	1.332001585	1.119739001
0.2	1.629176085	1.525042496	1.429641333	1.343000585	1.129658856
0.201	1.641061962	1.536691693	1.440991766	1.354014352	1.139599596
0.202	1.652952732	1.548349189	1.452353818	1.36504269	1.149561023
0.203	1.664848288	1.560014833	1.463727311	1.376085405	1.159542939
0.204	1.676748522	1.571688478	1.47511207	1.387142304	1.169545148
0.205	1.688653333	1.583369977	1.486507922	1.398213198	1.179567456
0.206	1.700562617	1.59505919	1.497914695	1.409297902	1.189609672
0.207	1.712476277	1.606755975	1.509332224	1.420396231	1.199671606
