t	alpha1	alpha2	alpha3	alpha4	alpha5
0.404	4.089104933	3.970210031	3.852296001	3.736106916	3.40466935
0.405	4.101209541	3.982305981	3.864370743	3.748143053	3.416470375
0.406	4.1133142	3.99440213	3.876445979	3.760180134	3.428274322
0.407	4.125418908	4.006498473	3.888521701	3.772218145	3.440081161
0.408	4.137523665	4.018595009	3.900597902	3.784257074	3.451890866
0.409	4.14962847	4.030691732	3.912674574	3.79629691	3.46370341
0.41	4.161733321	4.042788639	3.924751711	3.808337639	3.475518764
0.411	4.173838217	4.054885728	3.936829305	3.820379251	3.487336903
0.412	4.185943158	4.066982995	3.94890735	3.832421733	3.4991578
0.413	4.198048142	4.079080437	3.960985837	3.844465073	3.510981427
0.414	4.210153169	4.09117805	3.973064762	3.856509261	3.52280776
0.415	4.222258237	4.103275832	3.985144116	3.868554284	3.534636773
0.416	4.234363346	4.115373778	3.997223893	3.880600133	3.546468439
0.417	4.246468495	4.127471888	4.009304087	3.892646795	3.558302733
0.418	4.258573682	4.139570157	4.021384691	3.90469426	3.570139631
0.419	4.270678908	4.151668582	4.033465699	3.916742518	3.581979108
0.42	4.28278417	4.163767161	4.045547104	3.928791557	3.593821138
0.421	4.294889469	4.175865891	4.057628902	3.940841367	3.605665698
0.422	4.306994804	4.187964769	4.069711085	3.952891939	3.617512763
0.423	4.319100173	4.200063793	4.081793648	3.964943261	3.62936231
0.424	4.331205576	4.212162959	4.093876585	3.976995324	3.641214314
0.425	4.343311013	4.224262266	4.10595989	3.989048118	3.653068753
0.426	4.355416481	4.236361711	4.118043557	4.001101634	3.664925602
0.427	4.367521982	4.24846129	4.130127581	4.013155861	3.67678484
0.428	4.379627514	4.260561003	4.142211957	4.02521079	3.688646442
0.429	4.391733076	4.272660846	4.154296679	4.037266412	3.700510388
0.43	4.403838668	4.284760817	4.166381741	4.049322717	3.712376653
0.431	4.415944288	4.296860913	4.178467139	4.061379697	3.724245217
0.432	4.428049938	4.308961133	4.190552867	4.073437342	3.736116056
0.433	4.440155614	4.321061475	4.202638921	4.085495644	3.74798915
0.434	4.452261319	4.333161935	4.214725295	4.097554594	3.759864477
0.435	4.464367049	4.345262512	4.226811984	4.109614183	3.771742016
0.436	4.476472806	4.357363204	4.238898984	4.121674402	3.783621744
0.437	4.488578588	4.369464008	4.250986289	4.133735244	3.795503643
0.438	4.500684395	4.381564923	4.263073896	4.145796699	3.80738769
0.439	4.512790226	4.393665946	4.275161798	4.157858761	3.819273865
0.44	4.524896081	4.405767076	4.287249993	4.16992142	3.831162148
0.441	4.537001959	4.417868311	4.299338475	4.181984669	3.843052519
0.442	4.54910786	4.429969649	4.31142724	4.1940485	3.854944958
0.443	4.561213783	4.442071087	4.323516284	4.206112905	3.866839444
0.444	4.573319727	4.454172625	4.335605602	4.218177876	3.87873596
0.445	4.585425693	4.466274259	4.34769519	4.230243406	3.890634484
0.446	4.59753168	4.47837599	4.359785044	4.242309488	3.902534999
0.447	4.609637687	4.490477814	4.37187516	4.254376114	3.914437485
0.448	4.621743713	4.50257973	4.383965534	4.266443277	3.926341922
0.449	4.63384976	4.514681737	4.396056162	4.278510969	3.938248293
0.45	4.645955825	4.526783832	4.40814704	4.290579184	3.95015658
0.451	4.658061909	4.538886015	4.420238164	4.302647915	3.962066763
0.452	4.67016801	4.550988283	4.43232953	4.314717155	3.973978824
0.453	4.68227413	4.563090635	4.444421135	4.326786896	3.985892747
0.454	4.694380267	4.57519307	4.456512975	4.338857133	3.997808512
0.455	4.706486421	4.587295585	4.468605046	4.350927859	4.009726103
0.456	4.718592592	4.599398181	4.480697345	4.362999067	4.021645501
0.457	4.730698778	4.611500854	4.492789869	4.375070751	4.03356669
0.458	4.742804981	4.623603604	4.504882613	4.387142904	4.045489653
0.459	4.754911199	4.63570643	4.516975575	4.39921552	4.057414372
0.46	4.767017432	4.647809329	4.529068751	4.411288593	4.069340832
0.461	4.779123681	4.659912301	4.541162138	4.423362118	4.081269014
0.462	4.791229943	4.672015344	4.553255733	4.435436087	4.093198903
0.463	4.80333622	4.684118457	4.565349531	4.447510495	4.105130483
0.464	4.815442511	4.696221639	4.577443532	4.459585336	4.117063736
0.465	4.827548815	4.708324889	4.58953773	4.471660605	4.128998649
0.466	4.839655133	4.720428204	4.601632124	4.483736295	4.140935203
0.467	4.851761463	4.732531585	4.613726709	4.495812402	4.152873385
0.468	4.863867806	4.74463503	4.625821484	4.507888918	4.164813178
0.469	4.875974162	4.756738537	4.637916446	4.51996584	4.176754566
0.47	4.88808053	4.768842106	4.65001159	4.532043162	4.188697535
0.471	4.900186909	4.780945735	4.662106916	4.544120878	4.20064207
0.472	4.9122933	4.793049424	4.674202419	4.556198982	4.212588156
0.473	4.924399703	4.80515317	4.686298097	4.568277471	4.224535777
0.474	4.936506117	4.817256975	4.698393948	4.580356339	4.236484919
0.475	4.948612541	4.829360835	4.710489968	4.59243558	4.248435568
0.476	4.960718976	4.841464751	4.722586156	4.60451519	4.260387709
0.477	4.972825421	4.85356872	4.734682508	4.616595163	4.272341328
0.478	4.984931877	4.865672743	4.746779023	4.628675496	4.284296411
0.479	4.997038342	4.877776818	4.758875696	4.640756183	4.296252944
0.48	5.009144818	4.889880945	4.770972527	4.652837219	4.308210912
0.481	5.021251302	4.901985121	4.783069513	4.6649186	4.320170303
0.482	5.033357796	4.914089348	4.795166651	4.677000321	4.332131103
0.483	5.045464299	4.926193622	4.807263939	4.689082378	4.344093298
0.484	5.057570811	4.938297945	4.819361375	4.701164766	4.356056875
0.485	5.069677332	4.950402314	4.831458956	4.713247481	4.368021821
0.486	5.081783861	4.962506729	4.843556681	4.725330518	4.379988122
0.487	5.093890398	4.974611189	4.855654546	4.737413873	4.391955766
0.488	5.105996943	4.986715694	4.86775255	4.749497542	4.40392474
0.489	5.118103496	4.998820242	4.879850691	4.761581521	4.415895032
0.49	5.130210058	5.010924832	4.891948967	4.773665806	4.427866627
0.491	5.142316626	5.023029465	4.904047375	4.785750392	4.439839515
0.492	5.154423202	5.035134139	4.916145913	4.797835275	4.451813683
0.493	5.166529786	5.047238853	4.92824458	4.809920452	4.463789119
0.494	5.178636376	5.059343607	4.940343374	4.822005919	4.47576581
0.495	5.190742973	5.0714484	4.952442292	4.834091671	4.487743744
0.496	5.202849577	5.083553231	4.964541333	4.846177705	4.49972291
0.497	5.214956188	5.0956581	4.976640494	4.858264017	4.511703296
0.498	5.227062805	5.107763005	4.988739775	4.870350604	4.52368489
0.499	5.239169429	5.119867947	5.000839172	4.882437462	4.535667681
0.5	5.251276058	5.131972925	5.012938685	4.894524587	4.547651657
0.501	5.263382694	5.144077937	5.025038312	4.906611975	4.559636807
0.502	5.275489336	5.156182984	5.03713805	4.918699624	4.57162312
0.503	5.287595983	5.168288064	5.049237898	4.930787529	4.583610584
0.504	5.299702637	5.180393177	5.061337855	4.942875687	4.595599189
0.505	5.311809295	5.192498323	5.073437918	4.954964095	4.607588924
0.506	5.323915959	5.204603501	5.085538086	4.96705275	4.619579777
0.507	5.336022629	5.21670871	5.097638358	4.979141648	4.631571739
0.508	5.348129303	5.228813949	5.109738732	4.991230786	4.643564799
0.509	5.360235983	5.240919219	5.121839206	5.003320161	4.655558946
0.51	5.372342668	5.253024518	5.133939779	5.01540977	4.667554169
0.511	5.384449357	5.265129847	5.146040449	5.027499609	4.679550459
0.512	5.396556051	5.277235204	5.158141214	5.039589675	4.691547806
0.513	5.40866275	5.289340589	5.170242074	5.051679966	4.703546198
0.514	5.420769453	5.301446002	5.182343027	5.063770478	4.715545627
0.515	5.432876161	5.313551441	5.194444071	5.075861209	4.727546083
0.516	5.444982873	5.325656908	5.206545206	5.087952155	4.739547555
0.517	5.45708959	5.3377624	5.218646428	5.100043314	4.751550033
0.518	5.46919631	5.349867918	5.230747739	5.112134683	4.763553509
0.519	5.481303035	5.361973461	5.242849135	5.124226259	4.775557973
0.52	5.493409763	5.374079028	5.254950615	5.13631804	4.787563415
0.521	5.505516496	5.38618462	5.267052179	5.148410021	4.799569826
0.522	5.517623232	5.398290236	5.279153825	5.160502202	4.811577196
0.523	5.529729972	5.410395875	5.291255552	5.172594579	4.823585517
0.524	5.541836715	5.422501537	5.303357358	5.18468715	4.83559478
0.525	5.553943462	5.434607221	5.315459243	5.196779911	4.847604975
0.526	5.566050213	5.446712928	5.327561204	5.208872861	4.859616093
0.527	5.578156966	5.458818656	5.339663242	5.220965997	4.871628127
0.528	5.590263724	5.470924405	5.351765354	5.233059317	4.883641066
0.529	5.602370484	5.483030176	5.36386754	5.245152818	4.895654902
0.53	5.614477248	5.495135967	5.375969798	5.257246497	4.907669628
0.531	5.626584014	5.507241778	5.388072128	5.269340353	4.919685233
0.532	5.638690784	5.519347609	5.400174528	5.281434382	4.931701711
0.533	5.650797557	5.531453459	5.412276997	5.293528583	4.943719052
0.534	5.662904332	5.543559329	5.424379534	5.305622954	4.955737248
0.535	5.67501111	5.555665217	5.436482138	5.317717491	4.967756292
0.536	5.687117892	5.567771123	5.448584809	5.329812193	4.979776174
0.537	5.699224675	5.579877048	5.460687544	5.341907058	4.991796888
0.538	5.711331462	5.59198299	5.472790343	5.354002084	5.003818425
0.539	5.723438251	5.60408895	5.484893206	5.366097267	5.015840777
0.54	5.735545043	5.616194927	5.49699613	5.378192607	5.027863936
0.541	5.747651837	5.628300921	5.509099116	5.390288101	5.039887895
0.542	5.759758633	5.640406931	5.521202161	5.402383748	5.051912646
0.543	5.771865432	5.652512958	5.533305266	5.414479544	5.063938182
0.544	5.783972233	5.664619	5.54540843	5.426575488	5.075964495
0.545	5.796079037	5.676725058	5.557511651	5.438671578	5.087991577
0.546	5.808185842	5.688831131	5.569614928	5.450767813	5.100019422
0.547	5.82029265	5.70093722	5.581718261	5.462864189	5.112048022
0.548	5.83239946	5.713043323	5.593821649	5.474960706	5.124077369
0.549	5.844506272	5.72514944	5.605925091	5.487057362	5.136107457
0.55	5.856613086	5.737255572	5.618028586	5.499154154	5.148138279
0.551	5.868719902	5.749361718	5.630132133	5.51125108	5.160169827
0.552	5.88082672	5.761467878	5.642235732	5.52334814	5.172202095
0.553	5.89293354	5.773574051	5.654339382	5.535445331	5.184235076
0.554	5.905040361	5.785680237	5.666443082	5.547542651	5.196268763
0.555	5.917147185	5.797786436	5.678546831	5.5596401	5.208303148
0.556	5.92925401	5.809892648	5.690650628	5.571737674	5.220338227
0.557	5.941360837	5.821998873	5.702754473	5.583835372	5.232373991
0.558	5.953467666	5.83410511	5.714858365	5.595933193	5.244410435
0.559	5.965574496	5.846211359	5.726962304	5.608031136	5.256447551
0.56	5.977681328	5.85831762	5.739066288	5.620129197	5.268485334
0.561	5.989788162	5.870423892	5.751170316	5.632227377	5.280523777
0.562	6.001894997	5.882530176	5.763274389	5.644325673	5.292562874
0.563	6.014001833	5.894636472	5.775378506	5.656424083	5.304602618
0.564	6.026108671	5.906742778	5.787482665	5.668522607	5.316643004
0.565	6.038215511	5.918849095	5.799586866	5.680621243	5.328684025
0.566	6.050322352	5.930955422	5.811691109	5.692719988	5.340725675
0.567	6.062429194	5.943061761	5.823795393	5.704818843	5.352767948
0.568	6.074536038	5.955168109	5.835899717	5.716917804	5.364810839
0.569	6.086642883	5.967274467	5.84800408	5.729016872	5.376854341
0.57	6.098749729	5.979380836	5.860108483	5.741116044	5.388898448
0.571	6.110856577	5.991487214	5.872212924	5.753215319	5.400943155
0.572	6.122963425	6.003593601	5.884317402	5.765314696	5.412988456
0.573	6.135070275	6.015699998	5.896421918	5.777414173	5.425034345
0.574	6.147177126	6.027806404	5.908526471	5.789513749	5.437080817
0.575	6.159283979	6.039912819	5.92063106	5.801613422	5.449127866
0.576	6.171390832	6.052019243	5.932735684	5.813713193	5.461175487
0.577	6.183497687	6.064125676	5.944840344	5.825813058	5.473223673
0.578	6.195604542	6.076232117	5.956945038	5.837913017	5.485272421
0.579	6.207711399	6.088338566	5.969049765	5.850013068	5.497321724
0.58	6.219818257	6.100445024	5.981154527	5.862113211	5.509371577
0.581	6.231925115	6.11255149	5.993259321	5.874213444	5.521421974
0.582	6.244031975	6.124657964	6.005364147	5.886313766	5.533472912
0.583	6.256138836	6.136764445	6.017469006	5.898414175	5.545524384
0.584	6.268245698	6.148870934	6.029573895	5.910514672	5.557576385
0.585	6.28035256	6.160977431	6.041678816	5.922615253	5.56962891
0.586	6.292459424	6.173083935	6.053783767	5.934715919	5.581681955
0.587	6.304566288	6.185190447	6.065888749	5.946816668	5.593735514
0.588	6.316673153	6.197296965	6.077993759	5.958917499	5.605789583
0.589	6.328780019	6.20940349	6.090098799	5.971018411	5.617844156
0.59	6.340886886	6.221510023	6.102203867	5.983119403	5.629899229
0.591	6.352993754	6.233616562	6.114308964	5.995220473	5.641954797
0.592	6.365100622	6.245723107	6.126414088	6.007321621	5.654010855
0.593	6.377207491	6.257829659	6.13851924	6.019422847	5.666067398
0.594	6.389314361	6.269936218	6.150624419	6.031524147	5.678124423
0.595	6.401421232	6.282042782	6.162729624	6.043625523	5.690181924
0.596	6.413528104	6.294149353	6.174834855	6.055726972	5.702239897
0.597	6.425634976	6.30625593	6.186940112	6.067828494	5.714298337
0.598	6.437741849	6.318362513	6.199045394	6.079930087	5.726357239
0.599	6.449848722	6.330469102	6.211150701	6.092031751	5.738416601
0.6	6.461955596	6.342575696	6.223256033	6.104133485	5.750476416
