t	w	U	I	alpha
0.518	9.957705511	9.99	0.015658878	8.398905516
0.519	9.957859132	9.99	0.015450159	8.418406173
0.52	9.958010706	9.99	0.015244222	8.437907129
0.521	9.95816026	9.99	0.01504103	8.45740838
0.522	9.95830782	9.99	0.014840546	8.476909922
0.523	9.958453414	9.99	0.014642735	8.496411751
0.524	9.958597066	9.99	0.01444756	8.515913864
0.525	9.958738804	9.99	0.014254986	8.535416255
0.526	9.958878653	9.99	0.01406498	8.554918923
0.527	9.959016638	9.99	0.013877506	8.574421862
0.528	9.959152783	9.99	0.013692531	8.59392507
0.529	9.959287114	9.99	0.013510022	8.613428543
0.53	9.959419654	9.99	0.013329945	8.632932277
0.531	9.959550428	9.99	0.013152268	8.652436269
0.532	9.959679458	9.99	0.01297696	8.671940515
0.533	9.959806769	9.99	0.012803989	8.691445012
0.534	9.959932382	9.99	0.012633323	8.710949757
0.535	9.960056322	9.99	0.012464931	8.730454746
0.536	9.960178609	9.99	0.012298785	8.749959976
0.537	9.960299266	9.99	0.012134853	8.769465445
0.538	9.960418315	9.99	0.011973106	8.788971147
0.539	9.960535778	9.99	0.011813515	8.808477082
0.54	9.960651674	9.99	0.011656051	8.827983245
0.541	9.960766026	9.99	0.011500686	8.847489633
0.542	9.960878854	9.99	0.011347392	8.866996244
0.543	9.960990178	9.99	0.011196141	8.886503074
0.544	9.961100017	9.99	0.011046906	8.906010121
0.545	9.961208393	9.99	0.010899661	8.925517382
0.546	9.961315324	9.99	0.010754378	8.945024853
0.547	9.96142083	9.99	0.010611032	8.964532533
0.548	9.96152493	9.99	0.010469596	8.984040417
0.549	9.961627642	9.99	0.010330045	9.003548504
0.55	9.961728985	9.99	0.010192355	9.023056791
0.551	9.961828977	9.99	0.0100565	9.042565275
0.552	9.961927637	9.99	0.009922455	9.062073954
0.553	9.962024981	9.99	0.009790198	9.081582824
0.554	9.962121028	9.99	0.009659703	9.101091884
0.555	9.962215795	9.99	0.009530947	9.120601131
0.556	9.962309298	9.99	0.009403908	9.140110562
0.557	9.962401555	9.99	0.009278562	9.159620175
0.558	9.962492583	9.99	0.009154887	9.179129967
0.559	9.962582397	9.99	0.009032861	9.198639937
0.56	9.962671014	9.99	0.008912461	9.218150081
0.561	9.96275845	9.99	0.008793665	9.237660397
0.562	9.96284472	9.99	0.008676453	9.257170884
0.563	9.96292984	9.99	0.008560804	9.276681538
0.564	9.963013826	9.99	0.008446696	9.296192358
0.565	9.963096693	9.99	0.008334109	9.315703342
0.566	9.963178455	9.99	0.008223022	9.335214486
0.567	9.963259127	9.99	0.008113417	9.35472579
0.568	9.963338723	9.99	0.008005272	9.374237251
0.569	9.963417259	9.99	0.007898569	9.393748866
0.57	9.963494748	9.99	0.007793288	9.413260634
0.571	9.963571204	9.99	0.00768941	9.432772553
0.572	9.963646641	9.99	0.007586917	9.452284621
0.573	9.963721073	9.99	0.00748579	9.471796835
0.574	9.963794512	9.99	0.007386011	9.491309194
0.575	9.963866973	9.99	0.007287562	9.510821696
0.576	9.963938468	9.99	0.007190425	9.530334339
0.577	9.964009009	9.99	0.007094583	9.549847121
0.578	9.964078611	9.99	0.007000018	9.569360041
0.579	9.964147285	9.99	0.006906714	9.588873095
0.58	9.964215043	9.99	0.006814654	9.608386284
0.581	9.964281898	9.99	0.00672382	9.627899604
0.582	9.964347862	9.99	0.006634198	9.647413054
0.583	9.964412947	9.99	0.00654577	9.666926632
0.584	9.964477165	9.99	0.00645852	9.686440337
0.585	9.964540526	9.99	0.006372434	9.705954167
0.586	9.964603043	9.99	0.006287495	9.72546812
0.587	9.964664726	9.99	0.006203688	9.744982195
0.588	9.964725588	9.99	0.006120998	9.76449639
0.589	9.964785638	9.99	0.006039411	9.784010703
0.59	9.964844887	9.99	0.005958911	9.803525133
0.591	9.964903347	9.99	0.005879484	9.823039679
0.592	9.964961028	9.99	0.005801115	9.842554338
0.593	9.96501794	9.99	0.005723792	9.862069109
0.594	9.965074093	9.99	0.005647499	9.881583991
0.595	9.965129498	9.99	0.005572222	9.901098982
0.596	9.965184165	9.99	0.005497949	9.920614081
0.597	9.965238102	9.99	0.005424667	9.940129286
0.598	9.965291321	9.99	0.005352361	9.959644596
0.599	9.96534383	9.99	0.005281018	9.97916001
0.6	9.96539564	9.99	0.005210627	9.998675526
