t	alpha1	alpha2	alpha3	alpha4
0.115	0.505757815	0.696606725	0.866122347	1.045422485
0.116	0.514738486	0.708210467	0.879604386	1.060336713
0.117	0.523776863	0.719870341	0.893131473	1.075277088
0.118	0.532872461	0.731585598	0.906702739	1.09024285
0.119	0.542024796	0.743355501	0.92031733	1.105233262
0.12	0.551233389	0.755179321	0.933974411	1.120247609
0.121	0.560497764	0.76705634	0.94767316	1.135285197
0.122	0.569817451	0.778985848	0.961412773	1.150345351
0.123	0.579191983	0.790967147	0.975192462	1.165427415
0.124	0.588620897	0.802999544	0.989011451	1.180530755
0.125	0.598103733	0.81508236	1.002868983	1.195654752
0.126	0.607640037	0.827214923	1.016764314	1.210798806
0.127	0.617229356	0.839396569	1.030696712	1.225962336
0.128	0.626871244	0.851626645	1.044665463	1.241144776
0.129	0.636565256	0.863904504	1.058669865	1.256345578
0.13	0.646310952	0.876229509	1.072709228	1.271564208
0.131	0.656107896	0.888601034	1.086782879	1.286800149
0.132	0.665955654	0.901018456	1.100890155	1.302052899
0.133	0.675853799	0.913481165	1.115030407	1.317321968
0.134	0.685801904	0.925988557	1.129202997	1.332606885
0.135	0.695799548	0.938540036	1.143407302	1.347907189
0.136	0.705846313	0.951135015	1.157642709	1.363222433
0.137	0.715941783	0.963772914	1.171908618	1.378552183
0.138	0.726085547	0.976453161	1.18620444	1.393896019
0.139	0.736277198	0.989175191	1.200529596	1.409253531
0.14	0.746516331	1.001938447	1.214883521	1.424624323
0.141	0.756802545	1.014742381	1.229265659	1.440008009
0.142	0.767135444	1.027586449	1.243675465	1.455404215
0.143	0.777514631	1.040470117	1.258112405	1.470812577
0.144	0.787939718	1.053392857	1.272575955	1.486232742
0.145	0.798410316	1.066354148	1.287065601	1.501664369
0.146	0.80892604	1.079353476	1.30158084	1.517107124
0.147	0.819486511	1.092390335	1.316121176	1.532560684
0.148	0.830091349	1.105464223	1.330686126	1.548024736
0.149	0.840740181	1.118574648	1.345275214	1.563498974
0.15	0.851432635	1.131721123	1.359887975	1.578983104
0.151	0.862168342	1.144903167	1.37452395	1.594476838
0.152	0.872946938	1.158120305	1.389182692	1.609979898
0.153	0.883768059	1.171372071	1.40386376	1.625492012
0.154	0.894631348	1.184658002	1.418566725	1.641012918
0.155	0.905536449	1.197977643	1.433291163	1.65654236
0.156	0.916483007	1.211330545	1.448036659	1.672080092
0.157	0.927470673	1.224716264	1.462802808	1.687625871
0.158	0.9384991	1.238134364	1.477589209	1.703179466
0.159	0.949567944	1.251584412	1.492395472	1.718740648
0.16	0.960676863	1.265065983	1.507221214	1.734309197
0.161	0.971825519	1.278578656	1.522066058	1.749884901
0.162	0.983013576	1.292122017	1.536929635	1.76546755
0.163	0.994240703	1.305695656	1.551811584	1.781056944
0.164	1.005506568	1.319299171	1.56671155	1.796652886
0.165	1.016810846	1.332932163	1.581629185	1.812255187
0.166	1.02815321	1.346594239	1.596564148	1.827863661
