i_p	w	t_p_w	I	t_p_I
19	9.900168265	0.36	0.091412443	0.56
25	9.96539564	0.35	0.005210627	0.55
32	9.96912086	0.34	0.000154359	0.52
44	9.969230437	0.329	4.94E-07	0.50
