 w                         logW                       A                         logA                      psi
  1.00000000000000002E-002  -2.0000000000000000        10.004001600640256        20.003475050911753        0    
  1.25892541179416749E-002  -1.8999999999999999        10.006343594337638        20.005508229118639        0     
  1.58489319246111343E-002  -1.8000000000000000        10.010057651197068        20.008731574610671        0
  1.99526231496887987E-002  -1.7000000000000000        10.015949685558896        20.013842684461643        0     
  2.51188643150957944E-002  -1.6000000000000001        10.025302152093987        20.021949413394786        0     
  3.16227766016837913E-002  -1.5000000000000000        10.040160642570282        20.034813231526027        0     
  3.98107170553497342E-002  -1.3999999999999999        10.063800193668939        20.055240114391850        0
  5.01187233627272480E-002  -1.2999999999999998        10.101495235277811        20.087713266479565        0     
  6.30957344480193305E-002  -1.2000000000000000        10.161819732048013        20.139429727503597        0     
  7.94328234724281379E-002  -1.1000000000000001        10.258917575630438        20.222030810584780        0     
  0.10000000000000001       -1.0000000000000000        10.416666666666668        20.354575339208630        0     
  0.12589254117941676      -0.89999999999999991        10.676867803972959        20.568877310477479        0     
  0.15848931924611143      -0.79999999999999982        11.116984056425769        20.919739656241248        0     
  0.19952623149688797      -0.69999999999999996        11.894041242142359        21.506588801314265        0     
  0.25118864315095807      -0.59999999999999987        13.375831699810595        22.526415913167668        0     
  0.31622776601683794      -0.50000000000000000        16.666666666666668        24.436974992327126        0     
  0.39810717055349731      -0.39999999999999991        27.319215411844333        28.729364451288390        0     
  0.50118723362727247      -0.29999999999999988        2103.2384681514545        66.457770328009531        0     
  0.63095734448019336      -0.19999999999999990        16.879668895551429        24.547278468724873        0     
  0.79432823472428171      -9.99999999999998807E-002   6.5624144965919617        16.341273158298687        0     
   1.0000000000000000        0.0000000000000000        3.3333333333333335        10.457574905606752        0     
   1.2589254117941675       0.10000000000000010        1.8728090113268185        5.4498698074503054        0     
   1.5848931924611140       0.20000000000000015        1.1052721149803713       0.86938426604556851        0     
   1.9952623149688808       0.30000000000000027       0.67004876810362424       -3.4778717385948932        0     
   2.5118864315095824       0.40000000000000036       0.41257029439003889       -7.6900409003509207        -180
   3.1622776601683795       0.50000000000000000       0.25641025641025639       -11.821292140529987        -180
   3.9810717055349731       0.60000000000000009       0.16026738318253939       -15.903097081946244        -180     
   5.0118723362727247       0.70000000000000018       0.10052730869911329       -19.954318883024428        -180     
   6.3095734448019360       0.80000000000000027       6.31940011729874990E-002  -23.986482922048612        -180     
   7.9432823472428211       0.90000000000000036       3.97799472304327176E-002  -28.006715946377007        -180     
   10.000000000000000        1.0000000000000000       2.50626566416040086E-002  -32.019457913734961        -180
   12.589254117941675        1.1000000000000001       1.57988546203976093E-002  -36.027487944546849        -180     
   15.848931924611142        1.2000000000000002       9.96259471482064361E-003  -40.032550734394057        -180     
   19.952623149688808        1.3000000000000003       6.28366204012864062E-003  -44.035743621126990        -180     
   25.118864315095820        1.4000000000000004       3.96380353246148995E-003  -48.037757592728141        -180     
   31.622776601683793        1.5000000000000000       2.50062515628907221E-003  -52.039028082670441        -180     
   39.810717055349734        1.6000000000000001       1.57764221743649565E-003  -56.039829612022920        -180     
   50.118723362727252        1.7000000000000002       9.95366992067960900E-004  -60.040335304800116        -180     
   63.095734448019364        1.8000000000000003       6.28011045187975366E-004  -64.040654360224025        -180     
   79.432823472428211        1.9000000000000004       3.96238998027541832E-004  -68.040855664557014        -180     
   100.00000000000000        2.0000000000000000       2.50006250156253884E-004  -72.040982676603903        -180     
